,prod_name,rating,rating_count,desc,profile,vitolas,Binder,Filler,Flavored,Has Tip,More Details,Origin,Pressed,Profile,Shapes,Sweet,Wrapper,Brand:
739,Gurkha Ninja,Rated 2.6 out of 5, Based on 5 Ratings ,"Behold, Gurkha Ninja.Ninja is the latest in full-flavored creations under the prestigious Gurkha label. This feisty new handmade hails from the Dominican Republic and combines a thick and oily Brazilian wrapper with aged, Cuban-seed Dominican long-fillers. Each of the five savory sizes is medium in body but layered with flavor, dishing out rich and satisfying nuances with every last puff. Notes of coffee and earth are complemented by a chewy sweetness on the finish, while the cigar remains balanced and smooth down to the nub.Gurkha Ninja received a well deserved 91-point rating, noting: ""Dark and oily with a sweet bouquet coming from the unlit foot. The cigar burns a bit unevenly, though draws well, showing coffee bean notes, nutty flavors, and an underlying sweetness.""",Medium-Full,"['Churchill', 'Gordo', 'Torpedo']",,Dominican,False,No,More Details,Dominican Republic,No,,"Churchill, Gordo, Torpedo",No,Brazilian,Gurkha
740,Gurkha Omen,Rated 4.29 out of 5, Based on 167 Ratings ,"Something special this way comes...There’s an Omen in the air. Gurkha Omen, that is. This tasty stogie is the newest addition to Gurkha’s already star-studded profile. I wasn’t sure there was room for another powerhouse blend in the Gurkha profile, but Gurkha Omen proved me wrong.Now right about here is where I'd normally give you the details on the specs of this blend... here's the bad news: this cigar was a one-off project Gurkha that ended up never reaching full production, meaning I don't have any blend information besides what I can surmise with my own eyes. Here's the good news: my closeout pricing reflects that, and this rich Gurkha compares most favorably to blends like Centurian and Titan. Bold notes of earth and spice mingle in a complex medley, delivering heaping piles of flavor with every puff. Just be warned - once we sell through, that's all she wrote, and this blend is gone for good. Get to it!",Medium,['Gran Rothschild'],,,False,No,More Details,Dominican Republic,No,,Gran Rothschild,No,Connecticut,Gurkha
741,Gurkha Pan American,Rated 4.29 out of 5, Based on 14 Ratings ,"That good ol' AmericanaGurkha has long been known for their prolific offerings. Each cigar providing a different luxurious experience from the last, complete with the most creative packaging in the industry. Gurkha hasn’t strayed the course with the Gurkha Pan American, a large ringed, mellow cigar. Packaged in a box resembling a vintage steamer trunk used in the 1920’s, when railroad and steamship travel was most common.A real Nicaraguan treat, the Pan American features Nicaraguan long-fillers bound by a Nicaraguan binder and flawlessly covered with an Ecuadorian Connecticut shade wrapper. Sit back and relax to the creamy and nutty flavors with nuances of oak and spice that make this mellow to medium bodied gordo another top shelf choice from Gurkha. You’ve got to hand it to Gurkha on this one, you won’t find packaging like this anywhere else.",Mellow-Medium,['Gordo'],Nicaraguan,Nicaraguan,False,No,More Details,Nicaragua,No,,Gordo,No,Ecuador Connecticut,Gurkha
742,Gurkha Park Avenue,Rated 4.51 out of 5, Based on 507 Ratings ,"Top-shelf, sub-$3.50? Holy mackerel!Superior quality and precision blending combine in this astounding value from Gurkha cigars. The “Rolls Royce of Cigars,” Park Avenue is a savory cigar appreciated by all palates. Handmade in Nicaragua, the blend consists of well-aged Cuban-seed long-fillers grown in the black soils of Nicaragua and lush tobaccos from the Cibao Valley of the Dominican Republic. On the outside, a flawless Connecticut-seed wrapper grown in Ecuador seals the deal, adding a pleasant, creamy component to an already complex bouquet. The blend is leathery, with hints of nuts and baked bread, and remains smooth with a medium-bodied profile down to the nub.",Mellow-Medium,"['Churchill', 'Torpedo']",,"Dominican, Nicaraguan",False,No,More Details,Nicaragua,No,,"Churchill, Torpedo",No,Ecuador Connecticut,Gurkha
743,Gurkha Park Avenue Habano,Rated 4.33 out of 5, Based on 120 Ratings ,"The long-awaited Park Avenue line extension.The ultra-popular Gurkha Park Avenue Series is finally complete, thanks to the addition of a delicious, medium-bodied Habano blend. This fan-favorite line has been taking up permanent residence in humidors across the nation for years due to its consistent quality, attractive price-point, and scrumptious flavor. Now with the addition of a delectable medium-bodied offering, the Park Avenue Series is poised for a full-fledged take-over.At hand is the same time-tested Park Avenue blend of aged Nicaraguan long-fillers, but they are now paired with a gorgeous Ecuadorian Habano wrapper to create a rich, hearty experience layered with Cuban-esque notes of pepper, wood, cream, and earth. With ample flavor, a smooth n’ creamy cigar, and a strength that’s far from overwhelming, Park Avenue Habano is perfect anytime. ​",Medium,"['Churchill', 'Torpedo']",,"Dominican, Nicaraguan",False,No,More Details,Nicaragua,No,,"Churchill, Torpedo",No,Habano,Gurkha
744,Gurkha Park Avenue Maduro,Rated 4.52 out of 5, Based on 71 Ratings ,"Park Ave, now available in dark!Park Avenue has been a top-seller since Jump Street. It’s smoth, well-made, reasonably priced and absolutely delicious. So adding Maduro to the family became inevitable, and Gurkha Cigars was itchin’ to get it done. The Maduro is finally here....and she’s a beauty, let me tell you boy. For Park Avenue Maduro, a Habano Maduro wrapper grown in Jalapa, Nicaragua was selected. Pitch-black in color, smooth and loaded with oils, this handsome leaf is primed for flavor. Under the sheets, the same mellow, Nicaraguan long-filler blend as the original Park Avenue was retained. All in, it’s a few notches up in strength level, brimming with rich, smoky, spicy and sweet flavors. Smooth, balanced, delicious from start to finish. For this limited edition run, only 5,000 boxes were created. Once they’re gone, they’re gone for good.",Medium,['Torpedo'],,Nicaraguan,False,No,More Details,Nicaragua,No,,Torpedo,No,Habano Maduro,Gurkha
745,Gurkha Prize Fighter,Rated 4.2 out of 5, Based on 44 Ratings ,"A real knockout.Here's one I never saw coming. Sort of like the first time I saw Rocky 5 - consumed with confusion and thoughts of ""what the hell is going on here."" But luckily in this instance, it makes this handmade even more special. Instead of swanky packaging and high MSRPs, this one cuts out all the fat for a lean, highly anticipated release. Inspired by historic boxing figures from the 1900's, Prize Fighter takes a refreshing all substance approach. In fact, you've probably heard stories of this era - when the men were men (and real men burnt cigars). Prize Fighter wins on so many levels....a picture perfect Connecticut-shade Ecuadorian wrapper, double binder combination of Ecuadorian and Indonesian leaves, and a 3 year aged blend of Dominican fillers. Never overpowering, this mellow to medium-bodied cigar is easy to enjoy one after another. Then tack on the highly enjoyable price....nuff said.",Mellow-Medium,"['Gordo', 'Robusto', 'Toro']",,Dominican,False,No,More Details,Dominican Republic,No,,"Gordo, Robusto, Toro",No,Ecuador Connecticut,Gurkha
746,Gurkha Red Witch,Rated 4.5 out of 5, Based on 20 Ratings ,"One sexy....witch.Red Witch is the newest everyday premium cigar from Gurkha, and boy does it look good. Named after the famous East India Trading Company ship, this lovely handmade is gorgeous from head to toe. Carefully crafted in Nicaragua, this box-pressed creature packs 3-year aged Nicaraguan long-fillers, from the super-fertile region of Jalapa, into a Dominican binder. Then, tying the ensemble together is a seamless Ecuadorian Rosado wrapper. From first light, sweet nuances take the reigns as notes of spice, earth, and coffee also enter the fray. Medium to full in body and exceptionally well-balanced, this handmade takes you on one memorable voyage. Plus, they're reasonably priced too. ",Medium-Full,"['Gordo', 'Robusto', 'Toro']",Dominican,Nicaraguan,False,No,More Details,Nicaragua,No,,"Gordo, Robusto, Toro",No,Ecuador Habano,Gurkha
747,Gurkha Regatta,Rated 4.26 out of 5, Based on 57 Ratings ,"Test the waters with Gurkha RegattaSail ahead at full speed with Gurkha Regatta. This premium stogie, named after the series of boat races, will make you feel like you’re on the edge of a boat, cruisin’ the sea, without a care in the world. All from the comfort of your own home! And with the ultra-discounts you get at CI, what could be better? Filled with a blend of Pennsylvanian, Dominican and Nicaraguan tobaccos and finished in a Connecticut shade wrapper, this mellow cigar won’t shake your sea legs. Coast through every social event at your next Regatta with one of these Gurkha’s in hand, and embark on a flavorful excursion ‘til the finish line with this mellow addition to the luxury brand. ",Medium,['Gran Rothschild'],Indonesian,"Dominican, Nicaraguan, United States",False,No,More Details,Dominican Republic,No,,Gran Rothschild,No,Ecuador Connecticut,Gurkha
748,Gurkha Rogue Tyrant,Rated 4.24 out of 5, Based on 29 Ratings ,"Gurkha does it again, and this time they're going Rogue.Take a peek at the third release under Gurkha's East India Trading line and behold a solid offering worthy of the mighty Gurkha name. This gem starts with a velvety smooth golden Ecuadorian Habano wrapper draped over a rare Ecuadorian binder and 3-year-aged blend of Nicaraguan, Honduran, and Dominican ligero long-filler leaves. The result? A full-flavored, medium to full-bodied profile that means business. Complexity? Check. Top-notch construction? Check. Unique un-finished foot? Check. Lively notes of spice, tobacco, and roasted chestnuts gradually build in intensity for a grand crescendo. Prepare thyself for a tasty ride that lives up to expectations, all at a CI price that’s just as scrumptious.Gurkha Rogue received a well-deserved 90-rating noting: ""A very dark squarish cigar with an uncut foot. It's toasty and spicy, with a sweet nutty character that becomes toasted by the finish.""",Medium-Full,['Robusto'],,"Dominican, Honduran, Nicaraguan",False,No,More Details,Nicaragua,Yes,,Robusto,No,Ecuador Habano,Gurkha
749,Gurkha Royal Brigade,Rated 4.5 out of 5, Based on 4 Ratings ,"A Gurkha fit for a kingKnown as the ‘Rolls Royce’ of cigars, Gurkha outdoes themselves in crafting high-end blends and is sought-after by those who have an eye for the lines of luxury. Each Gurkha cigar is produced with the highest of standards, and Royal Brigade is living proof to that testament. This regal cigar is filled with a fine blend of Dominican Ligero long-filler tobacco and clothed in a glistening dark Cameroon wrapper delivering notes of pepper, spice, and sweet earthy nuances. Another jewel added the Gurkha crown that will impress any cigar aficionado. Feel like royalty for a night or two with Gurkha Royal Brigade. ",Medium,['Gordo'],,Dominican,False,No,More Details,Dominican Republic,No,,Gordo,No,Cameroon,
750,Gurkha Royal Challenge Maduro,Rated 5 out of 5, Based on 1 Rating ,"I royally challenge you to try this.Gurkha Royal Challenge has a brand new extension, and this puppy lives up to the hype of its predecessor. Appropriately named Gurkha Royal Challenge Maduro, this blend takes the best parts of the original and adds its own unique twist to boost up the flavor. Packaged in the same leather box with regal platinum embellishments, this classy prize has all the components to be another star.Royal Challenge Maduro utilizes the same binder and filler tobaccos as the original - the wrapper, however, strays from the norm. Keeping in mind Royal Challenge’s original audience, Royal Challenge Maduro remains a creamy, mild experience. And with the addition of a Broadleaf Maduro wrapper leaf, the flavor becomes abundant. Hints of oak and earth are persistent from the first light, with a strong natural sweetness tiptoeing across your lips to the finish. A veritable masterpiece, Royal Challenge Maduro is a must try for novices and connoisseurs alike.",Mellow,"['Churchill', 'Torpedo']","Habano, Honduran","Dominican, Nicaraguan",False,No,More Details,Nicaragua,No,,"Churchill, Torpedo",No,Maduro,
751,Gurkha Seduction,Rated 4.82 out of 5, Based on 17 Ratings ,"Beauty. Beast. Titan. Centurian. Black Dragon. Just a few members of Gurkha's esteemed 'best of the best' club. But if there's one thing Joe hates, it's seeing a deserving specimen left out in the cold. That's why he's taking matters into his own hands, and bringing you one of Gurkha's finest creations for a hefty discount. Sporting an oily and enticing Ecuadorian Habano wrapper, and a distinctive bouquet of Columbian Corojo long-fillers, secured by a Dominican Olor binder, Seduction fires on all cylinders. This unique ensemble employs an unforgettable medium-bodied experience, pumping out unmistakable notes of cedar, spice, and coffee, as occasional notes of caramel-sweetness enter the fray. Complex, and enjoyable to the nub, this one will remain on your brain long after you set it down. Seduction hard to find, period. But it's impossible to find at this price, so get some!",Medium,"['Churchill', 'Gordo', 'Robusto', 'Toro']",Dominican,"Colombian, Dominican",False,,More Details,Dominican Republic,No,,"Churchill, Gordo, Robusto, Toro",No,Ecuador Habano,Gurkha
752,Gurkha Shaggy,Rated 2.6 out of 5,,"Hmm....I wonder why it’s called Shaggy.If you were guessing the Gurkha Shaggy got its name from its shaggy foot, then you are spot on. If you were thinking about Scooby-Doo....we might have a problem. The Gurkha Shaggy is a very distinctive cigar from the creative minds of Gurkha. Besides the noticeably exposed foot, the Shaggy utilizes a balanced recipe of vintage tobaccos. Bursting from within awaits 5-year old Dominican long-fillers and binder. Resting atop this aged core is an enticing chocolaty-brown 8-year old Dominican wrapper. Upon toasting the rugged foot, the binder and filler provide an insightful experience as to the taste of a cigar sans its wrapper. (Truly very unique if you have yet to experience it.) As the burn reaches the wrapper, warm flavors swarm the palate engulfing the senses as smooth notes of tobacco, oak, spice, and a hint of vanilla round out this medium-bodied treat. Not your normal Gurkha, heck – not your normal cigar, the Shaggy is a must try.",Medium,['Gordo'],Nicaraguan,Nicaraguan,False,No,More Details,Nicaragua,No,,Gordo,No,Dominican,Gurkha
753,Gurkha Sherpa Maduro,Rated 4.42 out of 5, Based on 33 Ratings ,"Let the Sherpa guide you to flavortown.Gurkha is a brand that's always ahead of the pack on Cigars International. Boldly going where no other brands dare to tread, Gurkha brings us cigars that are bold and unique, and leads our palates into wondrous uncharted territory. The Sherpa Maduro is the latest entry to their impressive portfolio, and like the original Sherpa, is an instant classic at a price of admission that will have the masses clamboring.A hearty, medium to full-bodied blend loaded with a tri-country blend of long-fillers that are encapsulated by a smooth Connecticut binder, this potent gem is finished with a dark maduro wrapper that provides notes of dark chocolate and hints of spice. Beautiful to look at and even more beautiful to taste, Sherpa Maduro is a certified humidor-stuffer that'll have you coming back for more in no time.",Medium-Full,"['Robusto', 'Toro']",Connecticut Broadleaf,"Dominican, Honduran, Nicaraguan",False,,More Details,Nicaragua,No,,"Robusto, Toro",No,Connecticut Broadleaf,Gurkha
754,Gurkha Sherpa Orange,Rated 3.99 out of 5, Based on 417 Ratings ,"A gem from Gurkha.Meticulously blended, Sherpa is a veritable treat for the senses. Hailing from Esteli, Nicaragua, Sherpa combines a vintage combination of Cuban-seed long-leaf tobaccos cultivated from two of the Central America’s most prized growing regions: Esteli and the Dominican’s Cibao Valley. This lush mixture is subsequently cloaked by a dark Habano wrapper grown in Nicaragua. Oily and pleasing to the eye, this choice outer leaf completes an eventful medium-bodied experience. Sherpa is rich and hearty, yet smooth from start to finish, offering enjoyable notes of leather, earth, and black espresso. The aroma is robust and toasty with a slight charcoal influence. Enjoy Sherpa, a complex and well-balanced cigar that's dirt cheap.",Medium,"['Double Corona', 'Robusto']",,"Dominican, Nicaraguan",False,No,More Details,Nicaragua,No,,"Double Corona, Robusto",No,"Habano, Nicaraguan",Gurkha
755,Gurkha Signature 1887,Rated 4.27 out of 5, Based on 11 Ratings ,"Mellow, redefined.Only the highest quality, vintage tobaccos attainable are used to create these tasty treats....tobaccos most brands cannot employ due to sparse quantities and exceedingly high costs. But Gurkha never sacrifices quality for quantity, as evidenced by the brand's slew of choice, 90+ rated blends.Gurkha Signature 1887 is a elegant blend, to say the least. Surprisingly mellow in character, this beautiful handmade booms with bigtime flavor. Toasty, oaky nuances smack the palate from all fronts, leaving behind a dense, but silky aftertaste that lingers long on the finish. A wonderful cigar you could puff on all day long, one that always delivers and satisfies. That's Gurkha Signature 1887.Naturally, the box is a work of art. A big, upright box with leather inlays in a high-gloss cherry finish.",Mellow-Medium,['Toro'],Dominican,Peruvian,False,No,More Details,Dominican Republic,No,,Toro,No,Ecuador Connecticut,Gurkha
756,Gurkha Special Ops,Rated 4.48 out of 5, Based on 23 Ratings ,"Gurkha Special Ops....ready for deployment, sir!​​​​You might not have seen them comin', but the Gurkha Special Ops have arrived. Special Ops is a name traditionally reserved for the nation’s elite soldiers, the cream of the crop. Inspired by our nation’s best, Gurkha set out to create a cigar equally elite. Wrapped in an silky and flawless, extensively aged Connecticut Broadleaf wrapper (it’s quite stunning, mind you) each Special Ops is primed for optimal enjoyment. A complex core of Nicaraguan and Dominican long-fillers creates a medium-bodied bouquet. Earth and wood dominate, while a rich and chocolatey nuance lingers long on the toasty-sweet finish. From time to time you'll pick up some gentle notes of pepper, adding to yet another flavor to this complex beauty.",Medium,['Churchill'],,"Dominican, Nicaraguan",False,No,More Details,Nicaragua,No,,Churchill,No,Maduro,Gurkha
757,Gurkha Status,Rated 4.6 out of 5, Based on 10 Ratings ,"The Status quo...Gurkha Status is an ultra-premium, subtle to medium-bodied offering that'll rival any top-shelf name you can imagine. A truly luxurious cigar, each Status lives up to its bold name thanks to top-notch aesthetics, delicious flavors, and unrivaled quality. Draped in a magnificent Connecticut shade wrapper, Status looks splendid and delivers a lovely bouquet to match. The underlying Dominican long-leaf core is bound with a heavily fermented Dominican binder, making the Status silky-smooth and buttery throughout. Accompanying the smooth, scrumptious subtleties of cream, cedar, and sweet tobacco is an easy draw and flawless burn. You owe it to yourself to grab a Status most expeditiously.",Mellow-Medium,['Torpedo'],Dominican,Dominican,False,No,More Details,Dominican Republic,No,,Torpedo,No,Connecticut,
758,Gurkha Symphony,Rated 4.32 out of 5, Based on 75 Ratings ,"Smooth as silk.By all accounts, this 91-rated blend is a masterful one. It’s often compared to AVO cigars - indeed many would say it outpaces and outshines its rival, offering copious amounts of mellow, creamy smoothness. And despite its subtle body, Gurkha Symphony delivers a genuine richness of flavor and complexity, even a smidge of spiciness on the palate. ",Mellow,['Toro'],Dominican,Nicaraguan,False,No,More Details,Dominican Republic,No,,Toro,No,Connecticut,Gurkha
759,Gurkha The Royal Reserve,Rated 5 out of 5, Based on 9 Ratings ,"The cigar rated by MAXIM and American Airlines magazine as ""finest in the world.""Gurkha is known for super-expensive, high-quality, well-aged premium cigars made with choice tobaccos. The Royal Reserve might just take the cake, as the line is among the most pricey in the world. The flat-out beautiful box packaging of this cigar makes it almost a shame to break open and enjoy.  This high-ticket box contains 22 exquisite cigars that have been ""super-infused"" with Louis XIII cognac that will tease your palate. Medium to full bodied with a unique, ornate wax coating, sealed under glass. A collector’s item.I'll be honest, I thought these went the way of the dinosaur. But, we recently received word from the manufacturer that these are still in limited production. This elusive handmade will only be around with very limited supply. There's no guarantee with how long they'll be available, so seize your opportunity to enjoy like royalty!",Medium,['Torpedo'],Nicaraguan,"Dominican, Nicaraguan",True,No,More Details,Dominican Republic,No,,Torpedo,Yes,"Connecticut, Maduro",Gurkha
760,Gurkha Vanquish,Rated 4.57 out of 5, Based on 23 Ratings ,"Vanquish MSRPs!Gurkha's been beating the competition for years, but now it's time to wipe them off the map completely. With Gurkha Vanquish, they've crafted a handmade that'll make you forget all about the other mediocre blends some brands serve up as ""premiums."" Remove boring cigars from your mind, and indulge in Gurkha Vanquish today.Though Gurkha Vanquish is currently available in multiple sizes, they'll be tightening up to include just the XO 6""x60 version... if you're a fan of the Robusto, Churchill, or any of the various sundry of other sizes and shapes I hope you jump aboard today.",Medium,['Gordo'],,,False,No,More Details,Dominican Republic,No,,Gordo,No,Habano,Gurkha
761,Gurkha Warlord,Rated 2.5 out of 5, Based on 2 Ratings ,"Hide ya kids, hide ya wife, the Warlord is here.The Gurkha Warlord is a cigar that takes no prisoners, and isn't shy about the matter, professing to be one of the greatest and most full-bodied Gurkha blends ever. A bold statement when you consider the impressive stable of cigars that exist under the Gurkha umbrella. Carefully handcrafted, the Warlord weighs in at a hefty 6.7”x60. This large vitola houses a choice selection of potent Nicaraguan fillers and is complemented by a flavorful Connecticut binder. Rounding out the savory blend is an oily and leathery Nicaraguan wrapper. This complex bouquet strikes a balanced accord between flavor and body, as meaty and rich flavors dance on the palate delivered by cool thick flavors. As the slow burn progresses, notes of nuts, oak, and spice are accentuated by an espresso like finish. Easily one of the most full-bodied Gurkhas on the market, the Warlord is not only de-lish, but delivers an experience as promised. In traditional Gurkha fashion, the Warlord is packaged inside eloquent treasure-style chests, bringing the high end feel of the limited-run Warlord full swing. Note: Only the Super Toro Box of 33 will be packaged in the the treasure chest.",Full,['Gordo'],Connecticut Broadleaf,Nicaraguan,False,No,More Details,Dominican Republic,No,,Gordo,No,Nicaraguan,Gurkha
762,Gurkha Warpath,Rated 4.22 out of 5,,"Get out the way, this Gurkha’s on a warpathIf you've been angrily on the hunt for a premium stogie, look no further than... well, Gurkha Warpath! You know Gurkha’s reputation for high-quality blends won’t steer you wrong, and this raging cigar is looking to put poser full-bodied cigars on the back burner. Warpath, a high-octane quality blend kicked up with flavor for high-energy cigar enthusiasts. This is a no-nonsense cigar, so put your money where your mouth is, in a good way, and get to savin’ from your pals at CI on the full-flavored Gurkha Warpath. Another great addition to the Gurkha portfolio of luxury cigars. ",Medium,['Gordo'],,,False,No,More Details,Dominican Republic,No,,Gordo,No,Nicaraguan,
763,Gurkha Warpig,Rated 4.47 out of 5, Based on 248 Ratings ,"Pig out on Gurkha's affordable new handmade.To truly understand Gurkha Warpig, imagine a beast with sharp tusks, blood-thirsty eyes, a take no prisoners attitude, and roll that all into one savory handmade. Not for the timid, Warpig stares at you in the face, challenging you with every puff. Unleashing a fierce array of flavor that only few will, and can appreciate, Warpig is a full-flavored cocktail. Draped in a dark, oily maduro wrapper and jam-packed with feisty long-fillers from Honduras and the Dominican, prepare for a Gurkha cigar of epic proportions. A bold yet balanced profile leads the charge as strong notes of espresso, cocoa, pepper, cedar, and a healthy dose of cream enter the fray. Sealing the delicious ensemble in place is a long, lingering, lip-smacking finish. The best part is, this one comes equipped with a price tag that will have you enjoying it daily. A powerful, top-shelf Gurkha staring you down for around $4-$5. If this doesn't sound like a dream come true, you should get your head checked STAT. ",Medium-Full,"['Belicoso', 'Gordo', 'Robusto', 'Toro']",Connecticut,"Dominican, Honduran",False,No,More Details,Honduras,No,,"Belicoso, Gordo, Robusto, Toro",No,Maduro,Gurkha
764,Gurkha Wicked Indie,Rated 5 out of 5, Based on 2 Ratings ,"Evil name, good cigar.With a name like Wicked Indie, I'll admit I was a bit skeptical at first. It sounds kinda shoddy, but an honest look reveals another top-notch handmade from Gurkha cigars. Hand-crafted in Nicaragua, each Wicked Indie is dressed in a golden brown Nicaraguan habano wrapper glistening with oils. This striking leaf houses a complex bouquet of Nicaraguan long-fillers patiently aged for 3 years. The end result is a well-balanced cigar with plenty of big time flavors in tow. Up front, the Gurkha Wicked Indie starts out with pepper and oak, before slowly transitioning into deep notes of caramel, coffee, and a spicy-sweet tobacco finish. Thick and chewy flavor coats the palate, as the Gurkha Wicked Inidie remains smooth all the way to the nub. Sure to treat you right, this highly enjoyable medium-bodied handmade is destined to become a regular in your rotation. Gurkha Wicked Indie received a well-deserved 90-rating noting: ""A fairly thick cigar with an easy draw that's full of fresh, rich tobacco notes. Some nutty flavors join a combination of molasses, sea salt and floral flavors.""",Medium,['Robusto'],,Nicaraguan,False,No,More Details,Nicaragua,No,,Robusto,No,Habano,Gurkha
765,Gurkha Widow Maker,Rated 4.47 out of 5, Based on 45 Ratings ,"Few boutique brands carry the all-around gravitas as Gurkha. Actually, few brands even come close. Known for exceedingly flavorful, high quality handmades crafted from the world's rarest, oldest tobaccos, the Gurkha name represents prestige and luxury. Centurian, Beauty, Beast, Titan, Crest, Triad....Gurkha's list of fine achievements is long and distinguished. Add Widow Maker to the list, because this rare specimen is ready for the masses. The medium to full-bodied Widow Maker is all substance. Available in two formats - Ecuador Connecticut and Connecticut Broadleaf - this ultra-premium is made entirely of extensively aged tobaccos. Rare, vintage tobaccos sorted countless times to obtain only the finest, highest quality leaves. Both varieties are bold and complex, offering soothing layers of robust, satisfying flavors delivered in a methodical, expertly balanced fashion only true vintage tobaccos can provide. Expectations will no doubt be high due to the price point....but a cigar of this caliber has the ability to meet, and also exceed, these expectations.Widow Maker MaduroWrapper: 10-year-aged Connecticut BroadleafBinder: 8-year-aged genuine CameroonLong-Filler: 8-year-aged Dominican HabanoExperience: Rich, rich, rich. Rich tobacco, rich espresso, rich cocoa bean, rich oak. Then there's the sweet, peanut influence and touch of sweet-spices from the Cameroon wrapper, adding yet another layer of complexity.",Medium-Full,"['Churchill', 'Gordo']",Cameroon,Dominican,False,No,More Details,Dominican Republic,No,,"Churchill, Gordo",No,"Connecticut Broadleaf, Habano",Gurkha
766,Gurkha Xtreme,Rated 4.56 out of 5, Based on 16 Ratings ,"This blend is as Xtreme as they come!Gurkha is well-known for creating intense, over-the-top blends that are as varied and coveted as the come (HMR, anyone?). One thing that’s equally intense is their packaging. A quick glance at this futuristic style black box may leave you wondering how to access the launch pad – it’s just that cool. Xtreme features a Nicaraguan wrapper and is available in three scrumptious sizes. And since Gurkha is just as much about the experience as it is about the cigar itself, this little stunner will fit right into your collection quite nicely.​Gurkha Xtreme even impressed the critics, earning a 90-rating, noting: ""Lots of earth and unsweetened chocolate with every puff of this toro. Hints of licorice also come through as well before a finish redolent of cloves.""",Medium-Full,"['Gordo', 'Robusto', 'Toro']",,,False,No,More Details,Nicaragua,No,,"Gordo, Robusto, Toro",No,Nicaraguan,Gurkha
767,Gurkha Yakuza,Rated 4.52 out of 5, Based on 60 Ratings ,"A gorgeously intimidating blend.Depending who you believe, the Yakuza are either a ruthless Japanese organized crime syndicate, or a misunderstood chivalrous organization…hint, I’d go with the former. The Yakuza are as famed for their intricate tattoos as their missing pinkies, and this new, bold blend from Gurkha, dubbed Yakuza, is as menacing as its namesake. A blend that’s as special as Gurkha Yakuza shouldn’t come in normal packaging, and leave it to Gurkha to knock this one out of the park. Coming dressed in a oil-oozing, milk-chocolaty Ecuador Habano ligero wrapper, Yakuza’s aesthetics are spot-on. A quick peak under the covers reveals a Nicaraguan binder embracing a collection of ligero-laced, uber-refined Nicaraguan and Honduran long-fillers with the addition of a small amount of La Entradas long-filler. Well-balanced, this firecracker is in-your-face full-bodied and will lay the smack-down in the flavor department. Bold notes of toast, oak, nuts, espresso, and pepper intertwine for a robust and dizzying experience. Not for the faint of heart, the Gurkha Yakuza will send you into sensory overload. Make sure to clear your schedule for this gem, because it's an experience that demands zero interruption.​",Full,['Toro'],Nicaraguan,"Honduran, Nicaraguan",False,No,More Details,Nicaragua,No,,Toro,No,Ecuador Habano,Gurkha
768,H. Upmann 175th Anniversary,Rated 4.5 out of 5, Based on 2 Ratings ,"Starting with a dream and ambition.It’s hard to believe that it’s been 175 years since H. Upmann got its start, but it’s abundantly clear that this was a brand built to withstand the test of time. Started in Cuba by an ambitious German banker, H. Upmann has flourished into a household name in the world of cigars, and is still going strong seventeen and a half decades later. This momentous anniversary deserves an exceptional cigar release, and exceptional is the perfect word for the H. Upmann 175th Anniversary.This exquisite puro uses only the finest leaves ever grown in Nicaragua, and is assembled by the most skilled rollers at the AJ Fernandez factory. The wrapper leaf is the star of the show on the 175th Anniversary: a Media Tiempo wrapper subjected to a specially developed three year fermentation process. The body is medium-full and the flavors are unlike anything you’ve ever tried, owing to the special processes only known to AJ Fernandez. Raise a glass to 175 years of H. Upmann and toast to many more to come!Good news! The H. Upmann 175th Anniversary has received a 93-point rating, noting ""This Churchill wears a gorgeous, dark wrapper that gleams with oil. Its effortless draw imparts rich, complex layers of chocolate and dried cherry interwoven with touches of oak, tannin and salty leather. The sweet aroma of stewing stone fruits is present throughout.""",Medium-Full,['Churchill'],Nicaraguan,Nicaraguan,False,False,More Details,Nicaragua,No,,Churchill,No,Nicaraguan,H. Upmann
769,H. Upmann 1844 Reserve,Rated 4.68 out of 5, Based on 41 Ratings ,"H. Upmann, reborn.H. Upmann has a strong track record in the cigar industry. With Cuban-roots dating back to 1844, and a history of top-selling blends from the Dominican Republic, H. Upmann is known for their smooth, flavorful handmade cigars that deliver time and time again. The classic H. Upmann line from the Dominican Republic recently underwent a complete overhaul. Packing change, a slightly tweaked blend, and even a new front mark - H. Upmann 1844 Reserve. I'll be the first to admit, I was skeptical. Why mess with success? But after burning a few, I realized why. This cigar is legit - a major improvement, no doubt. The new H. Upmann 1844 Reserve features a dark, reddish-brown Ecuadorian Habano wrapper that's oily and leathery. Underneath, a Nicaraguan binder and all-Dominican long-filler blend complete the ensemble. The result is a smooth, medium-bodied cigar that's rich in flavor and complete with notes of earth, nuts, pepper, and cedar. Delicious indeed and a fitting complement to the storied H. Upmann name.H. Upmann 1844 Reserve earned a spot in the Top 25 Cigars of the Year and received a stellar, 93-point rating, noting: ""A beautifully made pyramid with a superbly even burn and lush draw that layers the palate with earth, cedar, mineral and rich tobacco intonations.""",Medium,"['Belicoso', 'Churchill', 'Corona', 'Lancero/Panatela', 'Robusto', 'Toro']",Nicaraguan,Dominican,False,No,More Details,Dominican Republic,Varies,,"Belicoso, Churchill, Corona, Lancero/Panatela, Robusto, Toro",Varies,Ecuador Habano,H. Upmann
